row_type,classification,start,provided_dropping_time,recomputed_dropping_time,coefficient_stopping_time,times_equal,minimality_verified,q,K_q,assumed_M,H_numerator,H_denominator,barrier_holds,ratio_M_over_H_numerator,ratio_M_over_H_denominator,ratio_gt_4
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,2,1,1,1,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,3,4,4,4,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,7,7,7,7,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,27,59,59,59,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,703,81,81,81,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,10087,105,105,105,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,35655,135,135,135,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,270271,164,164,164,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,362343,165,165,165,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,381727,173,173,173,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,626331,176,176,176,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,1027431,183,183,183,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,1126015,224,224,224,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,8088063,246,246,246,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,13421671,287,287,287,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,20638335,292,292,292,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,26716671,298,298,298,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,56924955,308,308,308,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,63728127,376,376,376,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,217740015,395,395,395,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,1200991791,398,398,398,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,1827397567,433,433,433,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,2788008987,447,447,447,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,12235060455,547,547,547,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,898696369947,550,550,550,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,2081751768559,606,606,606,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,13179928405231,688,688,688,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,31835572457967,712,712,712,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,70665924117439,722,722,722,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,739448869367967,728,728,728,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,1008932249296231,886,886,886,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,118303688851791519,902,902,902,True,False,,,,,,,,,
STOPPING_RECORD,EXTERNAL_RECORD_EVIDENCE,180352746940718527,966,966,966,True,False,,,,,,,,,
